timestamp,joint,angle
39.010,elbow_L_flex,74.9
39.164,elbow_L_flex,74.8
39.304,elbow_L_flex,75.2
39.427,elbow_L_flex,75.2
39.568,elbow_L_flex,75.3
39.710,elbow_L_flex,75.5
39.866,elbow_L_flex,75.8
40.005,elbow_L_flex,75.8
40.131,elbow_L_flex,75.8
40.271,elbow_L_flex,75.9
40.411,elbow_L_flex,76.1
40.535,elbow_L_flex,75.8
40.659,elbow_L_flex,75.7
40.801,elbow_L_flex,75.2
40.942,elbow_L_flex,75.2
41.109,elbow_L_flex,75.2
41.235,elbow_L_flex,75.2
41.375,elbow_L_flex,74.8
41.515,elbow_L_flex,74.9
41.639,elbow_L_flex,75.0
41.779,elbow_L_flex,75.0
41.935,elbow_L_flex,75.1
42.061,elbow_L_flex,75.1
42.217,elbow_L_flex,75.4
42.343,elbow_L_flex,75.3
42.469,elbow_L_flex,75.4
42.650,elbow_L_flex,75.2
42.813,elbow_L_flex,74.3
42.952,elbow_L_flex,74.4
43.108,elbow_L_flex,74.4
43.247,elbow_L_flex,74.4
43.384,elbow_L_flex,74.3
43.554,elbow_L_flex,74.6
43.679,elbow_L_flex,74.6
43.801,elbow_L_flex,74.7
43.943,elbow_L_flex,74.7
44.083,elbow_L_flex,74.2
44.209,elbow_L_flex,74.5
44.348,elbow_L_flex,74.4
44.472,elbow_L_flex,74.8
44.613,elbow_L_flex,74.9
44.750,elbow_L_flex,74.6
44.873,elbow_L_flex,74.5
44.996,elbow_L_flex,74.6
45.120,elbow_L_flex,74.0
45.245,elbow_L_flex,74.1
45.384,elbow_L_flex,74.0
45.493,elbow_L_flex,74.5
45.615,elbow_L_flex,75.4
45.737,elbow_L_flex,75.3
45.864,elbow_L_flex,75.7
45.986,elbow_L_flex,74.0
46.126,elbow_L_flex,73.7
46.265,elbow_L_flex,74.0
46.389,elbow_L_flex,73.9
46.529,elbow_L_flex,74.0
46.653,elbow_L_flex,73.5
46.809,elbow_L_flex,73.4
0.365,elbow_R_flex,108.0
0.536,elbow_R_flex,70.2
0.645,elbow_R_flex,69.7
0.801,elbow_R_flex,69.0
0.956,elbow_R_flex,68.8
1.080,elbow_R_flex,68.6
1.237,elbow_R_flex,68.7
1.361,elbow_R_flex,68.5
1.485,elbow_R_flex,67.8
1.625,elbow_R_flex,68.0
1.765,elbow_R_flex,68.0
1.889,elbow_R_flex,67.2
2.031,elbow_R_flex,66.7
2.156,elbow_R_flex,66.0
2.298,elbow_R_flex,66.1
2.404,elbow_R_flex,65.8
2.532,elbow_R_flex,65.6
2.672,elbow_R_flex,65.6
2.794,elbow_R_flex,64.7
2.935,elbow_R_flex,64.8
3.074,elbow_R_flex,65.3
3.197,elbow_R_flex,65.7
3.339,elbow_R_flex,66.3
3.479,elbow_R_flex,66.3
3.604,elbow_R_flex,64.8
3.746,elbow_R_flex,118.3
3.870,elbow_R_flex,118.2
4.011,elbow_R_flex,118.8
4.152,elbow_R_flex,119.0
4.275,elbow_R_flex,82.1
4.447,elbow_R_flex,58.6
4.618,elbow_R_flex,10.2
4.775,elbow_R_flex,78.5
4.945,elbow_R_flex,74.4
5.114,elbow_R_flex,71.1
5.286,elbow_R_flex,69.3
5.457,elbow_R_flex,67.6
5.627,elbow_R_flex,66.3
5.783,elbow_R_flex,67.5
5.924,elbow_R_flex,69.0
6.066,elbow_R_flex,70.5
6.223,elbow_R_flex,73.4
6.395,elbow_R_flex,71.0
6.520,elbow_R_flex,70.4
6.660,elbow_R_flex,69.8
6.815,elbow_R_flex,69.9
7.003,elbow_R_flex,38.1
7.158,elbow_R_flex,23.2
7.329,elbow_R_flex,6.5
7.501,elbow_R_flex,10.5
7.656,elbow_R_flex,15.1
7.797,elbow_R_flex,18.6
7.924,elbow_R_flex,22.3
8.095,elbow_R_flex,28.3
8.251,elbow_R_flex,29.1
